pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,day,month,year,day_of_week,hour,euclidean_distance,Actual_Fare,Predicted_Fare
-73.958662,40.775822,-73.970893,40.76169,5,24,6,2013,0,9,0.018689857811120383,7.5,8.898537
-73.96981811523438,40.760269165039055,-73.99685668945312,40.75262069702149,1,20,4,2015,0,17,0.028099529512049668,12.0,13.865755
-73.9906,40.7284,-73.9743,40.7572,4,14,1,2012,5,23,0.033092748450375846,9.3,9.259383
-73.98233,40.751015,-73.989362,40.730332,5,20,8,2011,5,23,0.02184572070223718,8.1,8.01044
-73.980938,40.764683000000005,-74.00407299999999,40.720908,2,25,7,2011,0,16,0.04951241107035844,13.7,14.473494
-73.98340999999999,40.738617,-73.987937,40.745761,1,14,9,2009,0,18,0.008457568504017363,4.9,6.2529483
-73.954957,40.765397,-73.983407,40.78137,3,1,5,2014,3,15,0.032627277376459866,11.5,15.653979
-73.993695,40.735942,-73.996638,40.725247,2,19,9,2009,5,11,0.011092532352892908,4.9,5.8411107
-73.98431500000001,40.760895,-73.977195,40.726342,1,20,7,2009,0,21,0.03527894852457894,11.7,12.086678
-74.001813,40.72247,-73.999278,40.733796000000005,1,22,10,2011,5,14,0.011606226820119537,6.1,5.3488774
-73.990883,40.730212,-74.00405699999999,40.7395,2,29,11,2012,3,15,0.016118970810810408,7.0,7.6740713
-73.961331,40.777613,-73.970265,40.763875,1,22,5,2014,3,21,0.016387464721549668,6.5,6.8719883
-73.961623,40.766145,-73.97952,40.772831,1,28,7,2014,0,20,0.019105109395122534,6.0,7.1213765
-73.98004,40.726765,-73.99878199999999,40.71192,1,3,4,2009,4,4,0.0239089227904483,6.5,8.004791
-73.958481,40.764571,-73.983808,40.738364,1,19,12,2009,5,19,0.03644535331149183,10.5,10.462463
-73.95984200000001,40.77368,-73.987329,40.736357,1,12,2,2012,6,11,0.04635236237776558,8.9,10.586141
-73.997938,40.735792,-73.997938,40.735792,2,20,1,2013,6,9,0.0,7.5,7.208317
-73.994858,40.739913,-73.993723,40.735419,1,8,5,2013,2,13,0.004635111757011802,5.0,6.1812034
-73.97886657714845,40.73717498779297,-73.9869613647461,40.740482330322266,1,1,6,2015,0,18,0.008744375384041745,4.5,5.7128553
